Date,TeaGrade,DemandKg,StockLevelKg,LowStockFlag,PricePerKgLKR,DeliveryDay,Month,DayOfWeek,DayOfYear,Quarter,IsWeekend,Warehouse
2021-01-05,FNGS,249.3,5434.2,0,1363.0,0,1,1,5,1,0,Nuwara Eliya Main Warehouse
2021-01-05,OP,160.0,3615.6,0,2885.93,0,1,1,5,1,0,Nuwara Eliya Main Warehouse
2021-01-06,BOP,401.5,9729.1,0,1827.92,1,1,2,6,1,0,Nuwara Eliya Main Warehouse
2021-01-06,BOPF,376.3,8496.2,0,1656.12,1,1,2,6,1,0,Nuwara Eliya Main Warehouse
2021-01-06,DUST,309.5,7364.7,0,1586.09,1,1,2,6,1,0,Nuwara Eliya Main Warehouse
2021-01-06,FNGS,249.8,5446.4,0,1428.25,1,1,2,6,1,0,Nuwara Eliya Main Warehouse
2021-01-06,OP,161.8,3613.9,0,2875.9,1,1,2,6,1,0,Nuwara Eliya Main Warehouse
2021-01-07,BOP,430.5,9665.3,0,1809.35,0,1,3,7,1,0,Nuwara Eliya Main Warehouse
2021-01-07,BOPF,364.1,8491.5,0,1646.88,0,1,3,7,1,0,Nuwara Eliya Main Warehouse
2021-01-07,DUST,311.1,7425.4,0,1532.53,0,1,3,7,1,0,Nuwara Eliya Main Warehouse
2021-01-07,FNGS,221.9,5425.1,0,1394.43,0,1,3,7,1,0,Nuwara Eliya Main Warehouse
2021-01-07,OP,160.0,3651.3,0,2838.53,0,1,3,7,1,0,Nuwara Eliya Main Warehouse
2021-01-08,BOP,348.4,9745.7,0,1914.52,1,1,4,8,1,0,Nuwara Eliya Main Warehouse
2021-01-08,BOPF,290.0,8562.6,0,1655.61,1,1,4,8,1,0,Nuwara Eliya Main Warehouse
2021-01-08,DUST,255.4,7405.5,0,1529.11,1,1,4,8,1,0,Nuwara Eliya Main Warehouse
2021-01-08,FNGS,177.8,5433.7,0,1402.04,1,1,4,8,1,0,Nuwara Eliya Main Warehouse
2021-01-08,OP,124.8,3636.7,0,2841.8,1,1,4,8,1,0,Nuwara Eliya Main Warehouse
2021-01-09,BOP,245.2,9771.6,0,1821.58,0,1,5,9,1,1,Nuwara Eliya Main Warehouse
2021-01-09,BOPF,235.2,8573.0,0,1737.31,0,1,5,9,1,1,Nuwara Eliya Main Warehouse
2021-01-09,DUST,205.3,7419.4,0,1502.48,0,1,5,9,1,1,Nuwara Eliya Main Warehouse
2021-01-09,FNGS,152.4,5421.2,0,1393.49,0,1,5,9,1,1,Nuwara Eliya Main Warehouse
2021-01-09,OP,118.8,3649.5,0,2840.31,0,1,5,9,1,1,Nuwara Eliya Main Warehouse
2021-01-10,BOP,217.2,9814.5,0,1801.58,0,1,6,10,1,1,Nuwara Eliya Main Warehouse
2021-01-10,BOPF,174.8,8559.3,0,1727.26,0,1,6,10,1,1,Nuwara Eliya Main Warehouse
2021-01-10,DUST,152.5,7454.5,0,1597.68,0,1,6,10,1,1,Nuwara Eliya Main Warehouse
2021-01-10,FNGS,116.7,5409.5,0,1446.31,0,1,6,10,1,1,Nuwara Eliya Main Warehouse
2021-01-10,OP,83.2,3669.3,0,2742.35,0,1,6,10,1,1,Nuwara Eliya Main Warehouse
2021-01-11,BOP,358.5,9825.9,0,1813.39,1,1,0,11,1,0,Nuwara Eliya Main Warehouse
2021-01-11,BOPF,362.8,8634.2,0,1587.81,1,1,0,11,1,0,Nuwara Eliya Main Warehouse
2021-01-11,DUST,288.2,7483.4,0,1576.64,1,1,0,11,1,0,Nuwara Eliya Main Warehouse
2021-01-11,FNGS,233.4,5461.6,0,1401.19,1,1,0,11,1,0,Nuwara Eliya Main Warehouse
2021-01-11,OP,151.8,3706.0,0,2835.72,1,1,0,11,1,0,Nuwara Eliya Main Warehouse
2021-01-12,BOP,375.0,9847.0,0,1821.76,0,1,1,12,1,0,Nuwara Eliya Main Warehouse
2021-01-12,BOPF,293.1,8644.2,0,1700.22,0,1,1,12,1,0,Nuwara Eliya Main Warehouse
2021-01-12,DUST,301.2,7536.7,0,1589.63,0,1,1,12,1,0,Nuwara Eliya Main Warehouse
2021-01-12,FNGS,223.1,5482.1,0,1411.58,0,1,1,12,1,0,Nuwara Eliya Main Warehouse
2021-01-12,OP,159.2,3712.1,0,2865.11,0,1,1,12,1,0,Nuwara Eliya Main Warehouse
2021-01-13,BOP,382.7,9864.4,0,1899.17,1,1,2,13,1,0,Nuwara Eliya Main Warehouse
2021-01-13,BOPF,344.1,8690.3,0,1640.04,1,1,2,13,1,0,Nuwara Eliya Main Warehouse
2021-01-13,DUST,301.4,7570.2,0,1471.09,1,1,2,13,1,0,Nuwara Eliya Main Warehouse
2021-01-13,FNGS,210.9,5506.1,0,1377.28,1,1,2,13,1,0,Nuwara Eliya Main Warehouse
2021-01-13,OP,150.7,3699.3,0,2829.5,1,1,2,13,1,0,Nuwara Eliya Main Warehouse
2021-01-14,BOP,335.4,9903.6,0,1880.34,0,1,3,14,1,0,Nuwara Eliya Main Warehouse
2021-01-14,BOPF,298.0,8762.8,0,1645.8,0,1,3,14,1,0,Nuwara Eliya Main Warehouse
2021-01-14,DUST,256.0,7617.8,0,1544.01,0,1,3,14,1,0,Nuwara Eliya Main Warehouse
2021-01-14,FNGS,204.1,5508.3,0,1449.61,0,1,3,14,1,0,Nuwara Eliya Main Warehouse
2021-01-14,OP,154.1,3688.6,0,2647.93,0,1,3,14,1,0,Nuwara Eliya Main Warehouse
2021-01-15,BOP,304.2,9874.9,0,1891.61,1,1,4,15,1,0,Nuwara Eliya Main Warehouse
2021-01-15,BOPF,293.5,8724.7,0,1539.41,1,1,4,15,1,0,Nuwara Eliya Main Warehouse
2021-01-15,DUST,264.5,7678.0,0,1538.56,1,1,4,15,1,0,Nuwara Eliya Main Warehouse
2021-01-15,FNGS,208.9,5552.9,0,1452.86,1,1,4,15,1,0,Nuwara Eliya Main Warehouse
2021-01-15,OP,138.8,3717.2,0,2669.63,1,1,4,15,1,0,Nuwara Eliya Main Warehouse
2021-01-16,BOP,247.0,9840.8,0,1875.42,0,1,5,16,1,1,Nuwara Eliya Main Warehouse
2021-01-16,BOPF,226.3,8699.5,0,1613.5,0,1,5,16,1,1,Nuwara Eliya Main Warehouse
2021-01-16,DUST,210.6,7669.4,0,1538.65,0,1,5,16,1,1,Nuwara Eliya Main Warehouse
2021-01-16,FNGS,146.3,5568.3,0,1399.99,0,1,5,16,1,1,Nuwara Eliya Main Warehouse
2021-01-16,OP,97.2,3738.1,0,2734.34,0,1,5,16,1,1,Nuwara Eliya Main Warehouse
2021-01-17,BOP,190.8,9835.7,0,1819.21,0,1,6,17,1,1,Nuwara Eliya Main Warehouse
2021-01-17,BOPF,211.5,8728.7,0,1582.39,0,1,6,17,1,1,Nuwara Eliya Main Warehouse
2021-01-17,DUST,156.1,7656.6,0,1523.17,0,1,6,17,1,1,Nuwara Eliya Main Warehouse
2021-01-17,FNGS,126.4,5588.3,0,1377.1,0,1,6,17,1,1,Nuwara Eliya Main Warehouse
2021-01-17,OP,87.4,3746.2,0,2793.87,0,1,6,17,1,1,Nuwara Eliya Main Warehouse
2021-01-18,BOP,376.6,9885.4,0,1890.99,1,1,0,18,1,0,Nuwara Eliya Main Warehouse
2021-01-18,BOPF,314.9,8717.0,0,1662.26,1,1,0,18,1,0,Nuwara Eliya Main Warehouse
2021-01-18,DUST,274.5,7668.6,0,1535.83,1,1,0,18,1,0,Nuwara Eliya Main Warehouse
2021-01-18,FNGS,226.6,5587.7,0,1333.87,1,1,0,18,1,0,Nuwara Eliya Main Warehouse
2021-01-18,OP,145.7,3769.0,0,2739.26,1,1,0,18,1,0,Nuwara Eliya Main Warehouse
2021-01-19,BOP,369.5,9859.8,0,1918.06,0,1,1,19,1,0,Nuwara Eliya Main Warehouse
2021-01-19,BOPF,362.8,8689.3,0,1674.19,0,1,1,19,1,0,Nuwara Eliya Main Warehouse
2021-01-19,DUST,284.7,7705.8,0,1591.55,0,1,1,19,1,0,Nuwara Eliya Main Warehouse
2021-01-19,FNGS,220.4,5639.2,0,1365.36,0,1,1,19,1,0,Nuwara Eliya Main Warehouse
2021-01-19,OP,153.1,3791.4,0,2857.94,0,1,1,19,1,0,Nuwara Eliya Main Warehouse
2021-01-20,BOP,353.8,9902.0,0,1885.01,1,1,2,20,1,0,Nuwara Eliya Main Warehouse
2021-01-20,BOPF,315.8,8646.9,0,1521.43,1,1,2,20,1,0,Nuwara Eliya Main Warehouse
2021-01-20,DUST,275.4,7689.5,0,1463.21,1,1,2,20,1,0,Nuwara Eliya Main Warehouse
2021-01-20,FNGS,221.8,5678.8,0,1310.93,1,1,2,20,1,0,Nuwara Eliya Main Warehouse
2021-01-20,OP,145.0,3808.0,0,2904.02,1,1,2,20,1,0,Nuwara Eliya Main Warehouse
2021-01-21,BOP,403.0,9997.9,0,1877.66,0,1,3,21,1,0,Nuwara Eliya Main Warehouse
2021-01-21,BOPF,352.9,8597.1,0,1621.3,0,1,3,21,1,0,Nuwara Eliya Main Warehouse
2021-01-21,DUST,295.4,7645.7,0,1634.91,0,1,3,21,1,0,Nuwara Eliya Main Warehouse
2021-01-21,FNGS,218.9,5720.7,0,1363.8,0,1,3,21,1,0,Nuwara Eliya Main Warehouse
2021-01-21,OP,160.4,3837.0,0,2916.12,0,1,3,21,1,0,Nuwara Eliya Main Warehouse
2021-01-22,BOP,335.6,9960.2,0,1810.27,1,1,4,22,1,0,Nuwara Eliya Main Warehouse
2021-01-22,BOPF,291.8,8643.7,0,1677.01,1,1,4,22,1,0,Nuwara Eliya Main Warehouse
2021-01-22,DUST,292.6,7642.0,0,1574.88,1,1,4,22,1,0,Nuwara Eliya Main Warehouse
2021-01-22,FNGS,206.9,5703.9,0,1417.14,1,1,4,22,1,0,Nuwara Eliya Main Warehouse
2021-01-22,OP,150.9,3855.7,0,2832.59,1,1,4,22,1,0,Nuwara Eliya Main Warehouse
2021-01-23,BOP,261.5,9991.3,0,1864.73,0,1,5,23,1,1,Nuwara Eliya Main Warehouse
2021-01-23,BOPF,231.3,8621.5,0,1613.53,0,1,5,23,1,1,Nuwara Eliya Main Warehouse
2021-01-23,DUST,192.0,7687.6,0,1550.53,0,1,5,23,1,1,Nuwara Eliya Main Warehouse
2021-01-23,FNGS,161.2,5697.2,0,1400.14,0,1,5,23,1,1,Nuwara Eliya Main Warehouse
2021-01-23,OP,116.6,3863.2,0,2895.57,0,1,5,23,1,1,Nuwara Eliya Main Warehouse
2021-01-24,BOP,185.1,9996.4,0,1807.59,0,1,6,24,1,1,Nuwara Eliya Main Warehouse
2021-01-24,BOPF,182.7,8628.2,0,1658.16,0,1,6,24,1,1,Nuwara Eliya Main Warehouse
2021-01-24,DUST,157.5,7707.7,0,1594.77,0,1,6,24,1,1,Nuwara Eliya Main Warehouse
2021-01-24,FNGS,125.6,5692.7,0,1499.93,0,1,6,24,1,1,Nuwara Eliya Main Warehouse
2021-01-24,OP,101.0,3857.6,0,2757.45,0,1,6,24,1,1,Nuwara Eliya Main Warehouse
2021-01-25,BOP,362.3,10067.9,0,1851.91,1,1,0,25,1,0,Nuwara Eliya Main Warehouse
2021-01-25,BOPF,350.1,8660.6,0,1639.91,1,1,0,25,1,0,Nuwara Eliya Main Warehouse
2021-01-25,DUST,284.7,7710.7,0,1485.21,1,1,0,25,1,0,Nuwara Eliya Main Warehouse
2021-01-25,FNGS,218.9,5683.6,0,1386.87,1,1,0,25,1,0,Nuwara Eliya Main Warehouse
2021-01-25,OP,149.6,3879.7,0,2792.18,1,1,0,25,1,0,Nuwara Eliya Main Warehouse
2021-01-26,BOP,391.1,10036.9,0,1762.35,0,1,1,26,1,0,Nuwara Eliya Main Warehouse
2021-01-26,BOPF,361.1,8668.3,0,1639.57,0,1,1,26,1,0,Nuwara Eliya Main Warehouse
2021-01-26,DUST,273.6,7690.8,0,1521.93,0,1,1,26,1,0,Nuwara Eliya Main Warehouse
2021-01-26,FNGS,223.4,5726.5,0,1383.7,0,1,1,26,1,0,Nuwara Eliya Main Warehouse
2021-01-26,OP,153.7,3885.7,0,2707.09,0,1,1,26,1,0,Nuwara Eliya Main Warehouse
2021-01-27,BOP,360.6,10082.7,0,1762.91,1,1,2,27,1,0,Nuwara Eliya Main Warehouse
2021-01-27,BOPF,344.8,8620.3,0,1609.89,1,1,2,27,1,0,Nuwara Eliya Main Warehouse
2021-01-27,DUST,282.0,7688.6,0,1547.32,1,1,2,27,1,0,Nuwara Eliya Main Warehouse
2021-01-27,FNGS,208.1,5698.0,0,1447.3,1,1,2,27,1,0,Nuwara Eliya Main Warehouse
2021-01-27,OP,150.4,3880.9,0,2906.7,1,1,2,27,1,0,Nuwara Eliya Main Warehouse
2021-01-28,BOP,383.7,10153.8,0,1843.05,0,1,3,28,1,0,Nuwara Eliya Main Warehouse
2021-01-28,BOPF,312.6,8671.4,0,1564.07,0,1,3,28,1,0,Nuwara Eliya Main Warehouse
2021-01-28,DUST,286.6,7665.1,0,1616.56,0,1,3,28,1,0,Nuwara Eliya Main Warehouse
2021-01-28,FNGS,223.4,5671.3,0,1321.83,0,1,3,28,1,0,Nuwara Eliya Main Warehouse
2021-01-28,OP,158.4,3907.9,0,2970.67,0,1,3,28,1,0,Nuwara Eliya Main Warehouse
2021-01-29,BOP,329.9,10229.0,0,1823.35,1,1,4,29,1,0,Nuwara Eliya Main Warehouse
2021-01-29,BOPF,289.3,8629.2,0,1568.81,1,1,4,29,1,0,Nuwara Eliya Main Warehouse
2021-01-29,DUST,248.3,7638.4,0,1551.01,1,1,4,29,1,0,Nuwara Eliya Main Warehouse
2021-01-29,FNGS,221.4,5662.3,0,1340.63,1,1,4,29,1,0,Nuwara Eliya Main Warehouse
2021-01-29,OP,142.3,3926.2,0,2776.45,1,1,4,29,1,0,Nuwara Eliya Main Warehouse
2021-01-30,BOP,256.0,10260.6,0,1859.85,0,1,5,30,1,1,Nuwara Eliya Main Warehouse
2021-01-30,BOPF,214.2,8662.3,0,1657.91,0,1,5,30,1,1,Nuwara Eliya Main Warehouse
2021-01-30,DUST,218.6,7684.9,0,1574.21,0,1,5,30,1,1,Nuwara Eliya Main Warehouse
2021-01-30,FNGS,146.5,5652.0,0,1430.85,0,1,5,30,1,1,Nuwara Eliya Main Warehouse
2021-01-30,OP,110.3,3951.1,0,2623.64,0,1,5,30,1,1,Nuwara Eliya Main Warehouse
2021-01-31,BOP,202.2,10270.4,0,1846.58,0,1,6,31,1,1,Nuwara Eliya Main Warehouse
2021-01-31,BOPF,151.8,8693.8,0,1624.5,0,1,6,31,1,1,Nuwara Eliya Main Warehouse
2021-01-31,DUST,146.8,7721.5,0,1525.98,0,1,6,31,1,1,Nuwara Eliya Main Warehouse
2021-01-31,FNGS,120.8,5645.1,0,1394.86,0,1,6,31,1,1,Nuwara Eliya Main Warehouse
2021-01-31,OP,102.3,3942.5,0,2725.89,0,1,6,31,1,1,Nuwara Eliya Main Warehouse
2021-02-01,BOP,393.4,10308.6,0,1855.87,1,2,0,32,1,0,Nuwara Eliya Main Warehouse
2021-02-01,BOPF,336.9,8701.6,0,1616.94,1,2,0,32,1,0,Nuwara Eliya Main Warehouse
2021-02-01,DUST,286.5,7697.3,0,1576.15,1,2,0,32,1,0,Nuwara Eliya Main Warehouse
2021-02-01,FNGS,200.9,5679.1,0,1395.93,1,2,0,32,1,0,Nuwara Eliya Main Warehouse
2021-02-01,OP,149.9,3958.9,0,2751.73,1,2,0,32,1,0,Nuwara Eliya Main Warehouse
2021-02-02,BOP,373.7,10382.5,0,1888.11,0,2,1,33,1,0,Nuwara Eliya Main Warehouse
2021-02-02,BOPF,324.3,8722.4,0,1603.19,0,2,1,33,1,0,Nuwara Eliya Main Warehouse
2021-02-02,DUST,306.8,7658.0,0,1631.62,0,2,1,33,1,0,Nuwara Eliya Main Warehouse
2021-02-02,FNGS,227.2,5696.2,0,1363.92,0,2,1,33,1,0,Nuwara Eliya Main Warehouse
2021-02-02,OP,147.1,3951.2,0,2695.15,0,2,1,33,1,0,Nuwara Eliya Main Warehouse
2021-02-03,BOP,347.4,10409.7,0,1828.75,1,2,2,34,1,0,Nuwara Eliya Main Warehouse
2021-02-03,BOPF,318.6,8735.4,0,1609.08,1,2,2,34,1,0,Nuwara Eliya Main Warehouse
2021-02-03,DUST,286.4,7652.8,0,1600.03,1,2,2,34,1,0,Nuwara Eliya Main Warehouse
2021-02-03,FNGS,220.7,5663.6,0,1413.45,1,2,2,34,1,0,Nuwara Eliya Main Warehouse
2021-02-03,OP,145.9,3982.1,0,2720.21,1,2,2,34,1,0,Nuwara Eliya Main Warehouse
2021-02-04,BOP,377.1,10357.7,0,1842.42,0,2,3,35,1,0,Nuwara Eliya Main Warehouse
2021-02-04,BOPF,343.9,8737.4,0,1674.91,0,2,3,35,1,0,Nuwara Eliya Main Warehouse
2021-02-04,DUST,274.2,7662.3,0,1550.07,0,2,3,35,1,0,Nuwara Eliya Main Warehouse
2021-02-04,FNGS,210.6,5668.2,0,1369.54,0,2,3,35,1,0,Nuwara Eliya Main Warehouse
2021-02-04,OP,153.3,3965.2,0,2824.15,0,2,3,35,1,0,Nuwara Eliya Main Warehouse
2021-02-05,BOP,302.8,10425.0,0,1935.49,1,2,4,36,1,0,Nuwara Eliya Main Warehouse
2021-02-05,BOPF,280.0,8794.8,0,1607.85,1,2,4,36,1,0,Nuwara Eliya Main Warehouse
2021-02-05,DUST,253.4,7645.0,0,1585.38,1,2,4,36,1,0,Nuwara Eliya Main Warehouse
2021-02-05,FNGS,182.6,5670.6,0,1406.64,1,2,4,36,1,0,Nuwara Eliya Main Warehouse
2021-02-05,OP,142.8,3981.2,0,2862.58,1,2,4,36,1,0,Nuwara Eliya Main Warehouse
2021-02-06,BOP,250.3,10456.5,0,1855.04,0,2,5,37,1,1,Nuwara Eliya Main Warehouse
2021-02-06,BOPF,204.0,8837.1,0,1559.09,0,2,5,37,1,1,Nuwara Eliya Main Warehouse
2021-02-06,DUST,183.5,7639.6,0,1580.93,0,2,5,37,1,1,Nuwara Eliya Main Warehouse
2021-02-06,FNGS,148.6,5655.1,0,1355.03,0,2,5,37,1,1,Nuwara Eliya Main Warehouse
2021-02-06,OP,109.3,3999.4,0,2633.96,0,2,5,37,1,1,Nuwara Eliya Main Warehouse
2021-02-07,BOP,160.7,10475.9,0,1845.06,0,2,6,38,1,1,Nuwara Eliya Main Warehouse
2021-02-07,BOPF,172.3,8834.4,0,1660.52,0,2,6,38,1,1,Nuwara Eliya Main Warehouse
2021-02-07,DUST,124.6,7631.0,0,1577.75,0,2,6,38,1,1,Nuwara Eliya Main Warehouse
2021-02-07,FNGS,103.7,5667.6,0,1396.13,0,2,6,38,1,1,Nuwara Eliya Main Warehouse
2021-02-07,OP,101.0,3998.6,0,2762.87,0,2,6,38,1,1,Nuwara Eliya Main Warehouse
2021-02-08,BOP,332.9,10454.7,0,1859.72,1,2,0,39,1,0,Nuwara Eliya Main Warehouse
2021-02-08,BOPF,297.1,8862.9,0,1614.54,1,2,0,39,1,0,Nuwara Eliya Main Warehouse
2021-02-08,DUST,259.8,7672.5,0,1606.01,1,2,0,39,1,0,Nuwara Eliya Main Warehouse
2021-02-08,FNGS,212.2,5695.3,0,1488.93,1,2,0,39,1,0,Nuwara Eliya Main Warehouse
2021-02-08,OP,159.1,4035.5,0,2810.95,1,2,0,39,1,0,Nuwara Eliya Main Warehouse
2021-02-09,BOP,378.2,10497.6,0,1846.32,0,2,1,40,1,0,Nuwara Eliya Main Warehouse
2021-02-09,BOPF,336.0,8937.1,0,1626.15,0,2,1,40,1,0,Nuwara Eliya Main Warehouse
2021-02-09,DUST,285.8,7711.0,0,1605.78,0,2,1,40,1,0,Nuwara Eliya Main Warehouse
2021-02-09,FNGS,229.1,5727.0,0,1386.15,0,2,1,40,1,0,Nuwara Eliya Main Warehouse
2021-02-09,OP,156.5,4065.3,0,2718.38,0,2,1,40,1,0,Nuwara Eliya Main Warehouse
2021-02-10,BOP,382.2,10500.5,0,1816.03,1,2,2,41,1,0,Nuwara Eliya Main Warehouse
2021-02-10,BOPF,318.3,9011.9,0,1702.87,1,2,2,41,1,0,Nuwara Eliya Main Warehouse
2021-02-10,DUST,267.6,7738.9,0,1548.62,1,2,2,41,1,0,Nuwara Eliya Main Warehouse
2021-02-10,FNGS,202.5,5755.7,0,1398.56,1,2,2,41,1,0,Nuwara Eliya Main Warehouse
2021-02-10,OP,144.9,4060.6,0,2828.03,1,2,2,41,1,0,Nuwara Eliya Main Warehouse
2021-02-11,BOP,364.9,10540.8,0,1800.16,0,2,3,42,1,0,Nuwara Eliya Main Warehouse
2021-02-11,BOPF,310.5,9028.5,0,1623.86,0,2,3,42,1,0,Nuwara Eliya Main Warehouse
2021-02-11,DUST,270.4,7740.2,0,1584.49,0,2,3,42,1,0,Nuwara Eliya Main Warehouse
2021-02-11,FNGS,195.9,5726.3,0,1395.69,0,2,3,42,1,0,Nuwara Eliya Main Warehouse
2021-02-11,OP,139.1,4040.2,0,2798.5,0,2,3,42,1,0,Nuwara Eliya Main Warehouse
2021-02-12,BOP,324.2,10506.0,0,1813.31,1,2,4,43,1,0,Nuwara Eliya Main Warehouse
2021-02-12,BOPF,278.2,9037.2,0,1639.03,1,2,4,43,1,0,Nuwara Eliya Main Warehouse
2021-02-12,DUST,256.9,7795.1,0,1536.95,1,2,4,43,1,0,Nuwara Eliya Main Warehouse
2021-02-12,FNGS,209.7,5774.8,0,1411.63,1,2,4,43,1,0,Nuwara Eliya Main Warehouse
2021-02-12,OP,132.5,4036.0,0,2770.92,1,2,4,43,1,0,Nuwara Eliya Main Warehouse
2021-02-13,BOP,240.7,10533.2,0,1904.26,0,2,5,44,1,1,Nuwara Eliya Main Warehouse
2021-02-13,BOPF,216.4,9028.8,0,1567.8,0,2,5,44,1,1,Nuwara Eliya Main Warehouse
2021-02-13,DUST,192.1,7840.8,0,1511.95,0,2,5,44,1,1,Nuwara Eliya Main Warehouse
2021-02-13,FNGS,141.0,5799.6,0,1424.06,0,2,5,44,1,1,Nuwara Eliya Main Warehouse
2021-02-13,OP,110.7,4031.9,0,2736.19,0,2,5,44,1,1,Nuwara Eliya Main Warehouse
2021-02-14,BOP,170.1,10575.7,0,1820.99,0,2,6,45,1,1,Nuwara Eliya Main Warehouse
2021-02-14,BOPF,177.6,9070.3,0,1614.54,0,2,6,45,1,1,Nuwara Eliya Main Warehouse
2021-02-14,DUST,169.2,7827.1,0,1542.46,0,2,6,45,1,1,Nuwara Eliya Main Warehouse
2021-02-14,FNGS,132.9,5827.7,0,1415.31,0,2,6,45,1,1,Nuwara Eliya Main Warehouse
2021-02-14,OP,100.4,4052.5,0,2831.98,0,2,6,45,1,1,Nuwara Eliya Main Warehouse
2021-02-15,BOP,344.6,10530.7,0,1847.49,1,2,0,46,1,0,Nuwara Eliya Main Warehouse
2021-02-15,BOPF,307.5,9041.8,0,1654.95,1,2,0,46,1,0,Nuwara Eliya Main Warehouse
2021-02-15,DUST,278.2,7810.2,0,1551.55,1,2,0,46,1,0,Nuwara Eliya Main Warehouse
2021-02-15,FNGS,208.9,5797.7,0,1416.34,1,2,0,46,1,0,Nuwara Eliya Main Warehouse
2021-02-15,OP,150.2,4088.1,0,2745.08,1,2,0,46,1,0,Nuwara Eliya Main Warehouse
2021-02-16,BOP,365.6,10618.7,0,1895.11,0,2,1,47,1,0,Nuwara Eliya Main Warehouse
2021-02-16,BOPF,324.2,9068.3,0,1549.86,0,2,1,47,1,0,Nuwara Eliya Main Warehouse
2021-02-16,DUST,291.0,7827.8,0,1477.95,0,2,1,47,1,0,Nuwara Eliya Main Warehouse
2021-02-16,FNGS,217.8,5846.4,0,1397.11,0,2,1,47,1,0,Nuwara Eliya Main Warehouse
2021-02-16,OP,161.6,4068.4,0,2663.85,0,2,1,47,1,0,Nuwara Eliya Main Warehouse
2021-02-17,BOP,388.3,10623.7,0,1840.91,1,2,2,48,1,0,Nuwara Eliya Main Warehouse
2021-02-17,BOPF,323.2,9056.4,0,1635.33,1,2,2,48,1,0,Nuwara Eliya Main Warehouse
2021-02-17,DUST,270.9,7797.0,0,1595.33,1,2,2,48,1,0,Nuwara Eliya Main Warehouse
2021-02-17,FNGS,220.7,5884.8,0,1409.02,1,2,2,48,1,0,Nuwara Eliya Main Warehouse
2021-02-17,OP,149.0,4074.2,0,2811.48,1,2,2,48,1,0,Nuwara Eliya Main Warehouse
2021-02-18,BOP,368.2,10696.7,0,1891.65,0,2,3,49,1,0,Nuwara Eliya Main Warehouse
2021-02-18,BOPF,315.9,9044.2,0,1630.58,0,2,3,49,1,0,Nuwara Eliya Main Warehouse
2021-02-18,DUST,257.1,7803.3,0,1426.76,0,2,3,49,1,0,Nuwara Eliya Main Warehouse
2021-02-18,FNGS,202.7,5922.3,0,1395.93,0,2,3,49,1,0,Nuwara Eliya Main Warehouse
2021-02-18,OP,152.8,4084.8,0,2705.75,0,2,3,49,1,0,Nuwara Eliya Main Warehouse
2021-02-19,BOP,292.5,10744.4,0,1771.11,1,2,4,50,1,0,Nuwara Eliya Main Warehouse
