SourceSystem,SourceRecordId,OriginalTransactionDate,TeaGrade,ItemCode,Quantity,Unit,TransactionType,SourceReferenceNumber,SupplierOrProductionReference,WarehouseCode,BinCode,UnitCost,Reason
SYNTHETIC-RESEARCH,SYN-BOP-20231112,2023-11-12T00:00:00Z,BOP,TEA-BOP,221.4,kg,ProductionReceipt,SYN-PROD-BOP-20231112,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231113,2023-11-13T00:00:00Z,BOP,TEA-BOP,377.4,kg,ProductionReceipt,SYN-PROD-BOP-20231113,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231114,2023-11-14T00:00:00Z,BOP,TEA-BOP,351.2,kg,ProductionReceipt,SYN-PROD-BOP-20231114,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231115,2023-11-15T00:00:00Z,BOP,TEA-BOP,403.9,kg,ProductionReceipt,SYN-PROD-BOP-20231115,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231116,2023-11-16T00:00:00Z,BOP,TEA-BOP,396.3,kg,ProductionReceipt,SYN-PROD-BOP-20231116,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231117,2023-11-17T00:00:00Z,BOP,TEA-BOP,323.2,kg,ProductionReceipt,SYN-PROD-BOP-20231117,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231118,2023-11-18T00:00:00Z,BOP,TEA-BOP,263.4,kg,ProductionReceipt,SYN-PROD-BOP-20231118,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231119,2023-11-19T00:00:00Z,BOP,TEA-BOP,218.0,kg,ProductionReceipt,SYN-PROD-BOP-20231119,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231120,2023-11-20T00:00:00Z,BOP,TEA-BOP,374.2,kg,ProductionReceipt,SYN-PROD-BOP-20231120,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231121,2023-11-21T00:00:00Z,BOP,TEA-BOP,375.4,kg,ProductionReceipt,SYN-PROD-BOP-20231121,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231122,2023-11-22T00:00:00Z,BOP,TEA-BOP,367.4,kg,ProductionReceipt,SYN-PROD-BOP-20231122,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231123,2023-11-23T00:00:00Z,BOP,TEA-BOP,374.2,kg,ProductionReceipt,SYN-PROD-BOP-20231123,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231124,2023-11-24T00:00:00Z,BOP,TEA-BOP,362.9,kg,ProductionReceipt,SYN-PROD-BOP-20231124,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231125,2023-11-25T00:00:00Z,BOP,TEA-BOP,271.6,kg,ProductionReceipt,SYN-PROD-BOP-20231125,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231126,2023-11-26T00:00:00Z,BOP,TEA-BOP,206.9,kg,ProductionReceipt,SYN-PROD-BOP-20231126,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231127,2023-11-27T00:00:00Z,BOP,TEA-BOP,389.8,kg,ProductionReceipt,SYN-PROD-BOP-20231127,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231128,2023-11-28T00:00:00Z,BOP,TEA-BOP,337.2,kg,ProductionReceipt,SYN-PROD-BOP-20231128,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231129,2023-11-29T00:00:00Z,BOP,TEA-BOP,408.4,kg,ProductionReceipt,SYN-PROD-BOP-20231129,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231130,2023-11-30T00:00:00Z,BOP,TEA-BOP,347.5,kg,ProductionReceipt,SYN-PROD-BOP-20231130,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231201,2023-12-01T00:00:00Z,BOP,TEA-BOP,339.7,kg,ProductionReceipt,SYN-PROD-BOP-20231201,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231202,2023-12-02T00:00:00Z,BOP,TEA-BOP,246.2,kg,ProductionReceipt,SYN-PROD-BOP-20231202,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231203,2023-12-03T00:00:00Z,BOP,TEA-BOP,195.8,kg,ProductionReceipt,SYN-PROD-BOP-20231203,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231204,2023-12-04T00:00:00Z,BOP,TEA-BOP,403.9,kg,ProductionReceipt,SYN-PROD-BOP-20231204,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231205,2023-12-05T00:00:00Z,BOP,TEA-BOP,389.7,kg,ProductionReceipt,SYN-PROD-BOP-20231205,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231206,2023-12-06T00:00:00Z,BOP,TEA-BOP,399.9,kg,ProductionReceipt,SYN-PROD-BOP-20231206,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231207,2023-12-07T00:00:00Z,BOP,TEA-BOP,387.0,kg,ProductionReceipt,SYN-PROD-BOP-20231207,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231208,2023-12-08T00:00:00Z,BOP,TEA-BOP,362.9,kg,ProductionReceipt,SYN-PROD-BOP-20231208,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231209,2023-12-09T00:00:00Z,BOP,TEA-BOP,276.2,kg,ProductionReceipt,SYN-PROD-BOP-20231209,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231210,2023-12-10T00:00:00Z,BOP,TEA-BOP,203.2,kg,ProductionReceipt,SYN-PROD-BOP-20231210,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231211,2023-12-11T00:00:00Z,BOP,TEA-BOP,408.0,kg,ProductionReceipt,SYN-PROD-BOP-20231211,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231212,2023-12-12T00:00:00Z,BOP,TEA-BOP,396.4,kg,ProductionReceipt,SYN-PROD-BOP-20231212,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231213,2023-12-13T00:00:00Z,BOP,TEA-BOP,370.6,kg,ProductionReceipt,SYN-PROD-BOP-20231213,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231214,2023-12-14T00:00:00Z,BOP,TEA-BOP,386.9,kg,ProductionReceipt,SYN-PROD-BOP-20231214,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231215,2023-12-15T00:00:00Z,BOP,TEA-BOP,389.8,kg,ProductionReceipt,SYN-PROD-BOP-20231215,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231216,2023-12-16T00:00:00Z,BOP,TEA-BOP,298.4,kg,ProductionReceipt,SYN-PROD-BOP-20231216,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231217,2023-12-17T00:00:00Z,BOP,TEA-BOP,228.4,kg,ProductionReceipt,SYN-PROD-BOP-20231217,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231218,2023-12-18T00:00:00Z,BOP,TEA-BOP,389.4,kg,ProductionReceipt,SYN-PROD-BOP-20231218,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231219,2023-12-19T00:00:00Z,BOP,TEA-BOP,406.9,kg,ProductionReceipt,SYN-PROD-BOP-20231219,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231220,2023-12-20T00:00:00Z,BOP,TEA-BOP,495.5,kg,ProductionReceipt,SYN-PROD-BOP-20231220,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231221,2023-12-21T00:00:00Z,BOP,TEA-BOP,457.6,kg,ProductionReceipt,SYN-PROD-BOP-20231221,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231222,2023-12-22T00:00:00Z,BOP,TEA-BOP,424.3,kg,ProductionReceipt,SYN-PROD-BOP-20231222,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231223,2023-12-23T00:00:00Z,BOP,TEA-BOP,356.7,kg,ProductionReceipt,SYN-PROD-BOP-20231223,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231224,2023-12-24T00:00:00Z,BOP,TEA-BOP,294.5,kg,ProductionReceipt,SYN-PROD-BOP-20231224,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231225,2023-12-25T00:00:00Z,BOP,TEA-BOP,445.9,kg,ProductionReceipt,SYN-PROD-BOP-20231225,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231226,2023-12-26T00:00:00Z,BOP,TEA-BOP,464.0,kg,ProductionReceipt,SYN-PROD-BOP-20231226,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231227,2023-12-27T00:00:00Z,BOP,TEA-BOP,460.9,kg,ProductionReceipt,SYN-PROD-BOP-20231227,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231228,2023-12-28T00:00:00Z,BOP,TEA-BOP,456.0,kg,ProductionReceipt,SYN-PROD-BOP-20231228,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231229,2023-12-29T00:00:00Z,BOP,TEA-BOP,436.3,kg,ProductionReceipt,SYN-PROD-BOP-20231229,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231230,2023-12-30T00:00:00Z,BOP,TEA-BOP,344.2,kg,ProductionReceipt,SYN-PROD-BOP-20231230,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231231,2023-12-31T00:00:00Z,BOP,TEA-BOP,310.1,kg,ProductionReceipt,SYN-PROD-BOP-20231231,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOPF-20231002,2023-10-02T00:00:00Z,BOPF,TEA-BOPF,321.0,kg,ProductionReceipt,SYN-PROD-BOPF-20231002,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOPF-20231003,2023-10-03T00:00:00Z,BOPF,TEA-BOPF,302.5,kg,ProductionReceipt,SYN-PROD-BOPF-20231003,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOPF-20231004,2023-10-04T00:00:00Z,BOPF,TEA-BOPF,316.8,kg,ProductionReceipt,SYN-PROD-BOPF-20231004,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOPF-20231005,2023-10-05T00:00:00Z,BOPF,TEA-BOPF,307.9,kg,ProductionReceipt,SYN-PROD-BOPF-20231005,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOPF-20231006,2023-10-06T00:00:00Z,BOPF,TEA-BOPF,260.8,kg,ProductionReceipt,SYN-PROD-BOPF-20231006,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOPF-20231007,2023-10-07T00:00:00Z,BOPF,TEA-BOPF,208.0,kg,ProductionReceipt,SYN-PROD-BOPF-20231007,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOPF-20231008,2023-10-08T00:00:00Z,BOPF,TEA-BOPF,162.2,kg,ProductionReceipt,SYN-PROD-BOPF-20231008,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOPF-20231009,2023-10-09T00:00:00Z,BOPF,TEA-BOPF,300.3,kg,ProductionReceipt,SYN-PROD-BOPF-20231009,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOPF-20231010,2023-10-10T00:00:00Z,BOPF,TEA-BOPF,312.8,kg,ProductionReceipt,SYN-PROD-BOPF-20231010,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOPF-20231011,2023-10-11T00:00:00Z,BOPF,TEA-BOPF,338.1,kg,ProductionReceipt,SYN-PROD-BOPF-20231011,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
