Date,Year,Month,Day,DayOfWeek,Quarter,IsWeekend,DayOfYear,GreenLeafPricePerKgLKR,GreenLeafQuantityKg,FirewoodCollectedKg,FirewoodCostPerKgLKR,TemperatureCelsius,RainfallMM,HeavyRainFlag,SupplierID,SupplierName,SupplierDelivered,SupplierQuantityKg,PromotionActive,MonthStartBonus,TotalDailyCostLKR,NextDayGreenLeafPrice,PriceLag1,PriceLag2,PriceLag3,PriceLag7,PriceLag14,PriceRollingMean7,PriceRollingMean30,PriceRollingStd7,QtyRollingMean7,PriceChangePct
2021-02-20,2021,2,20,5,1,1,51,94.48,3331.5,637.4,18.49,21.7,1.3,0,SUP-005,Kandyan Leaf Growers,1,718.5,0,0,326545.65,90.1,91.04,98.63,95.66,94.02,93.33,95.08,93.98,2.32,4231.0,3.7786
2021-02-21,2021,2,21,6,1,1,52,90.1,3402.2,639.1,17.59,21.0,1.1,0,SUP-003,Nuwara Estates Ltd,0,0.0,1,0,317779.99,97.27,94.48,91.04,98.63,95.32,88.15,94.34,93.92,2.98,4253.2,-4.6359
2021-02-22,2021,2,22,0,1,0,53,97.27,4926.0,1366.6,17.53,18.7,4.3,0,SUP-004,Highlands Tea Farm,1,623.9,0,0,503108.52,91.45,90.1,94.48,91.04,94.07,91.91,94.79,94.14,3.17,4298.7,7.9578
2021-02-23,2021,2,23,1,1,0,54,91.45,4551.7,1165.8,20.28,17.5,0.8,0,SUP-002,Silva Green Leaves,1,728.2,0,0,439895.39,92.59,97.27,90.1,94.48,96.38,100.8,94.09,94.22,3.3,4302.6,-5.9833
2021-02-24,2021,2,24,2,1,0,55,92.59,4658.1,1349.9,17.62,22.2,3.5,0,SUP-001,Perera Tea Estates,1,805.3,0,0,455078.72,91.49,91.45,97.27,90.1,95.66,97.46,93.65,94.38,3.27,4290.2,1.2466
2021-02-25,2021,2,25,3,1,0,56,91.49,4687.3,1246.0,17.2,22.5,6.8,0,SUP-004,Highlands Tea Farm,1,509.8,0,0,450272.28,89.53,92.59,91.45,97.27,98.63,92.13,92.63,94.23,2.47,4324.8,-1.188
2021-02-26,2021,2,26,4,1,0,57,89.53,4977.4,1288.1,18.26,19.5,1.7,0,SUP-003,Nuwara Estates Ltd,1,711.4,0,0,469147.33,95.92,91.49,92.59,91.45,91.04,85.9,92.42,93.97,2.69,4362.0,-2.1423
2021-02-27,2021,2,27,5,1,1,58,95.92,3653.6,699.1,18.03,19.6,6.1,0,SUP-003,Nuwara Estates Ltd,1,807.1,0,0,363058.08,90.48,89.53,91.49,92.59,94.48,94.02,92.62,93.84,2.92,4408.0,7.1373
2021-02-28,2021,2,28,6,1,1,59,90.48,3457.6,745.4,16.91,22.8,1.0,0,SUP-003,Nuwara Estates Ltd,0,0.0,0,0,325448.36,100.26,95.92,89.53,91.49,90.1,95.32,92.68,93.61,2.87,4416.0,-5.6714
2021-03-01,2021,3,1,0,1,0,60,100.26,4449.1,1323.0,17.63,19.3,0.4,0,SUP-001,Perera Tea Estates,1,807.4,0,1,469391.26,101.78,90.48,95.92,89.53,97.27,94.07,93.1,93.85,3.75,4347.8,10.809
2021-03-02,2021,3,2,1,1,0,61,101.78,4667.3,1141.8,19.41,21.5,4.6,0,SUP-005,Kandyan Leaf Growers,1,741.6,1,1,497200.13,97.46,100.26,90.48,95.92,91.45,96.38,94.58,94.23,4.86,4364.3,1.5161
2021-03-03,2021,3,3,2,1,0,62,97.46,4430.9,1294.9,17.91,17.5,4.8,0,SUP-001,Perera Tea Estates,1,883.6,0,1,455027.17,97.57,101.78,100.26,90.48,92.59,95.66,95.27,94.37,4.88,4331.9,-4.2444
2021-03-04,2021,3,4,3,1,0,63,97.57,4571.3,1330.4,17.71,16.9,8.2,0,SUP-002,Silva Green Leaves,1,561.9,0,1,469583.12,95.07,97.46,101.78,100.26,91.49,98.63,96.14,94.35,4.63,4315.3,0.1129
2021-03-05,2021,3,5,4,1,0,64,95.07,4791.5,1255.5,18.12,20.2,1.3,0,SUP-001,Perera Tea Estates,1,858.0,0,1,478277.56,92.75,97.57,97.46,101.78,89.53,91.04,96.93,94.19,3.68,4288.8,-2.5623
2021-03-06,2021,3,6,5,1,1,65,92.75,3274.3,745.6,18.31,21.5,0.6,0,SUP-004,Highlands Tea Farm,0,0.0,1,0,317343.26,92.74,95.07,97.57,97.46,95.92,94.48,96.48,94.02,4.01,4234.6,-2.4403
2021-03-07,2021,3,7,6,1,1,66,92.74,3040.8,703.2,17.28,20.8,1.1,0,SUP-001,Perera Tea Estates,0,0.0,0,0,294155.09,102.63,92.75,95.07,97.57,90.48,90.1,96.8,94.19,3.5,4175.0,-0.0108
2021-03-08,2021,3,8,0,1,0,67,102.63,4863.0,1197.4,19.71,18.3,2.9,0,SUP-004,Highlands Tea Farm,0,0.0,0,0,522690.44,99.47,92.74,92.75,95.07,100.26,97.27,97.14,94.5,3.98,4234.2,10.6642
2021-03-09,2021,3,9,1,1,0,68,99.47,4860.3,1269.5,19.42,17.1,0.4,0,SUP-003,Nuwara Estates Ltd,0,0.0,0,0,508107.73,96.43,102.63,92.74,92.75,101.78,91.45,96.81,94.88,3.61,4261.7,-3.079
2021-03-10,2021,3,10,2,1,0,69,96.43,4860.0,1191.5,17.22,20.7,0.1,0,SUP-001,Perera Tea Estates,1,819.5,0,0,489167.43,100.32,99.47,102.63,92.74,97.46,92.59,96.67,95.03,3.6,4323.0,-3.0562
2021-03-11,2021,3,11,3,1,0,70,100.32,4777.4,1329.4,18.33,16.8,1.3,0,SUP-004,Highlands Tea Farm,1,486.4,0,0,503636.67,100.31,96.43,99.47,102.63,97.57,91.49,97.06,95.01,3.85,4352.5,4.034
2021-03-12,2021,3,12,4,1,0,71,100.31,4563.2,1083.5,17.35,19.4,14.8,0,SUP-003,Nuwara Estates Ltd,1,734.0,0,0,476533.32,95.18,100.32,96.43,99.47,95.07,89.53,97.81,95.11,3.91,4319.9,-0.01
2021-03-13,2021,3,13,5,1,1,72,95.18,3530.7,556.8,17.52,15.9,2.0,0,SUP-002,Silva Green Leaves,1,578.4,0,0,345807.16,97.08,100.31,100.32,96.43,92.75,95.92,98.15,95.21,3.47,4356.5,-5.1141
2021-03-14,2021,3,14,6,1,1,73,97.08,3659.6,590.9,18.45,20.2,1.3,0,SUP-001,Perera Tea Estates,0,0.0,0,0,366176.07,95.26,95.18,100.31,100.32,92.74,90.48,98.77,95.58,2.63,4444.9,1.9962
2021-03-15,2021,3,15,0,1,0,74,95.26,4411.6,1259.9,18.87,19.2,12.1,0,SUP-002,Silva Green Leaves,1,701.6,0,0,444023.33,102.6,97.08,95.18,100.31,102.63,100.26,97.72,95.62,2.28,4380.4,-1.8747
2021-03-16,2021,3,16,1,1,0,75,102.6,4714.1,1295.2,16.59,19.2,6.3,0,SUP-002,Silva Green Leaves,1,592.4,0,0,505154.03,96.34,95.26,97.08,95.18,99.47,101.78,98.17,95.87,2.9,4359.5,7.7052
2021-03-17,2021,3,17,2,1,0,76,96.34,4862.0,1156.8,17.0,18.7,0.0,0,SUP-004,Highlands Tea Farm,1,538.2,0,0,488070.68,97.73,102.6,95.26,97.08,96.43,97.46,98.16,95.94,2.91,4359.8,-6.1014
2021-03-18,2021,3,18,3,1,0,77,97.73,4721.7,1039.1,18.17,18.5,1.7,0,SUP-001,Perera Tea Estates,1,873.4,0,0,480332.19,91.99,96.34,102.6,95.26,100.32,97.57,97.79,95.99,2.75,4351.8,1.4428
2021-03-19,2021,3,19,4,1,0,78,91.99,4787.7,1309.6,18.99,20.6,2.1,0,SUP-004,Highlands Tea Farm,1,477.4,0,0,465289.83,93.53,97.73,96.34,102.6,100.31,95.07,96.6,95.86,3.23,4383.9,-5.8733
2021-03-20,2021,3,20,5,1,1,79,93.53,3186.0,468.9,19.57,16.1,2.2,0,SUP-001,Perera Tea Estates,1,865.0,0,0,307162.95,93.72,91.99,97.73,96.34,95.18,92.75,96.36,95.7,3.41,4334.7,1.6741
2021-03-21,2021,3,21,6,1,1,80,93.72,3702.5,593.7,19.63,17.2,22.9,0,SUP-001,Perera Tea Estates,0,0.0,0,0,358652.63,93.01,93.53,91.99,97.73,97.08,92.74,95.88,95.78,3.52,4340.8,0.2031
2021-03-22,2021,3,22,0,1,0,81,93.01,4672.3,1214.3,17.13,18.3,2.7,0,SUP-004,Highlands Tea Farm,1,611.1,0,0,455371.58,91.62,93.72,93.53,91.99,95.26,102.63,95.56,95.74,3.69,4378.0,-0.7576
2021-03-23,2021,3,23,1,1,0,82,91.62,4619.5,1273.5,18.47,20.6,1.8,0,SUP-002,Silva Green Leaves,1,540.9,0,0,446760.14,100.31,93.01,93.72,93.53,102.6,99.47,93.99,95.79,2.25,4364.5,-1.4945
2021-03-24,2021,3,24,2,1,0,83,100.31,4838.3,1221.8,18.01,18.0,0.1,0,SUP-001,Perera Tea Estates,1,845.8,0,0,507334.49,95.93,91.62,93.01,93.72,96.34,96.43,94.56,95.89,3.23,4361.1,9.4848
2021-03-25,2021,3,25,3,1,0,84,95.93,4908.0,1188.5,19.85,19.7,2.1,0,SUP-005,Kandyan Leaf Growers,1,578.0,0,0,494416.16,90.41,100.31,91.62,93.01,97.73,100.32,94.3,96.04,3.0,4387.8,-4.3665
2021-03-26,2021,3,26,4,1,0,85,90.41,5005.4,1255.8,16.46,17.9,6.4,0,SUP-003,Nuwara Estates Ltd,1,655.4,0,0,473208.68,97.09,95.93,100.31,91.62,91.99,100.31,94.08,95.96,3.25,4418.9,-5.7542
2021-03-27,2021,3,27,5,1,1,86,97.09,3339.1,480.8,18.64,20.4,4.0,0,SUP-005,Kandyan Leaf Growers,1,644.6,1,0,333155.33,94.32,90.41,95.93,100.31,93.53,95.18,94.58,96.15,3.42,4440.7,7.3886
2021-03-28,2021,3,28,6,1,1,87,94.32,3349.9,424.1,18.58,20.0,4.7,0,SUP-002,Silva Green Leaves,0,0.0,0,0,323842.35,94.04,97.09,90.41,95.93,93.72,97.08,94.67,96.31,3.41,4390.4,-2.853
2021-03-29,2021,3,29,0,1,0,88,94.04,4523.3,1121.6,18.98,17.4,0.8,0,SUP-003,Nuwara Estates Ltd,0,0.0,0,0,446659.1,99.71,94.32,97.09,90.41,93.01,95.26,94.82,96.25,3.34,4369.1,-0.2969
2021-03-30,2021,3,30,1,1,0,89,99.71,4712.8,1220.9,19.45,20.5,4.9,0,SUP-001,Perera Tea Estates,1,786.8,0,0,493659.79,90.97,94.04,94.32,97.09,91.62,102.6,95.97,96.56,3.45,4382.4,6.0293
2021-03-31,2021,3,31,2,1,0,90,90.97,4639.5,1134.4,17.77,17.4,11.1,0,SUP-003,Nuwara Estates Ltd,1,676.1,0,0,442213.6,96.84,99.71,94.04,94.32,100.31,96.34,94.64,96.25,3.3,4354.0,-8.7654
2021-04-01,2021,4,1,3,2,0,91,96.84,4684.1,1153.2,18.62,20.1,4.7,0,SUP-001,Perera Tea Estates,1,846.8,0,1,475080.83,100.83,90.97,99.71,94.04,95.93,97.73,94.77,96.08,3.37,4322.0,6.4527
2021-04-02,2021,4,2,4,2,0,92,100.83,4496.4,1103.6,19.12,19.2,1.3,0,SUP-005,Kandyan Leaf Growers,1,689.1,0,1,474472.84,92.9,96.84,90.97,99.71,90.41,91.99,96.26,96.19,3.43,4249.3,4.1202
2021-04-03,2021,4,3,5,2,1,93,92.9,3482.3,633.8,18.27,17.6,1.7,0,SUP-002,Silva Green Leaves,1,618.6,0,1,335085.2,91.71,100.83,96.84,90.97,97.09,93.53,95.66,96.04,3.62,4269.8,-7.8647
2021-04-04,2021,4,4,6,2,1,94,91.71,3666.0,697.0,17.55,17.2,1.4,0,SUP-001,Perera Tea Estates,0,0.0,0,1,348441.21,101.32,92.9,100.83,96.84,94.32,93.72,95.29,95.93,3.9,4314.9,-1.2809
2021-04-05,2021,4,5,0,2,0,95,101.32,4991.8,1068.2,17.21,15.1,7.4,0,SUP-001,Perera Tea Estates,1,848.3,0,1,524152.9,93.06,91.71,92.9,100.83,94.04,93.01,96.33,96.21,4.45,4381.8,10.4787
2021-04-06,2021,4,6,1,2,0,96,93.06,4695.0,1066.3,20.27,17.3,5.5,0,SUP-001,Perera Tea Estates,1,768.0,1,0,458530.6,100.9,101.32,91.71,92.9,99.71,91.62,95.38,96.22,4.31,4379.3,-8.1524
2021-04-07,2021,4,7,2,2,0,97,100.9,4932.1,1196.8,17.79,18.8,0.2,0,SUP-005,Kandyan Leaf Growers,0,0.0,0,0,518939.96,100.14,93.06,101.32,91.71,90.97,100.31,96.79,96.16,4.25,4421.1,8.4247
2021-04-08,2021,4,8,3,2,0,98,100.14,4588.0,1188.9,15.75,19.8,7.4,0,SUP-002,Silva Green Leaves,1,705.8,0,0,478167.5,97.56,100.9,93.06,101.32,96.84,95.93,97.27,96.19,4.44,4407.4,-0.7532
2021-04-09,2021,4,9,4,2,0,99,97.56,5020.0,1245.1,16.74,15.6,1.9,0,SUP-004,Highlands Tea Farm,1,512.0,0,0,510594.17,94.78,100.14,100.9,93.06,100.83,90.41,96.8,96.22,4.16,4482.2,-2.5764
2021-04-10,2021,4,10,5,2,1,100,94.78,3735.1,626.2,18.16,20.7,6.3,0,SUP-004,Highlands Tea Farm,1,441.3,0,0,365384.57,92.0,97.56,100.14,100.9,92.9,97.09,97.07,96.04,3.93,4518.3,-2.8495
2021-04-11,2021,4,11,6,2,1,101,92.0,3439.7,646.7,19.38,17.1,3.6,0,SUP-003,Nuwara Estates Ltd,0,0.0,0,0,328985.45,95.36,94.78,97.56,100.14,91.71,94.32,97.11,95.76,3.86,4486.0,-2.9331
2021-04-12,2021,4,12,0,2,0,102,95.36,4742.2,1158.2,16.75,18.3,17.6,0,SUP-005,Kandyan Leaf Growers,1,679.6,0,0,471616.04,95.76,92.0,94.78,97.56,101.32,94.04,96.26,95.77,3.41,4450.3,3.6522
2021-04-13,2021,4,13,1,2,0,103,95.76,4981.7,1202.6,17.88,15.5,3.5,0,SUP-005,Kandyan Leaf Growers,1,764.2,0,0,498550.08,97.14,95.36,92.0,94.78,93.06,99.71,96.64,95.72,3.13,4491.3,0.4195
2021-04-14,2021,4,14,2,2,0,104,97.14,4574.0,1178.9,18.66,17.1,10.8,0,SUP-003,Nuwara Estates Ltd,1,526.8,0,0,466316.63,100.99,95.76,95.36,92.0,100.9,90.97,96.11,95.79,2.54,4440.1,1.4411
2021-04-15,2021,4,15,3,2,0,105,100.99,4777.9,1105.2,18.54,17.8,2.2,0,SUP-005,Kandyan Leaf Growers,1,675.1,0,0,503010.53,95.37,97.14,95.76,95.36,100.14,96.84,96.23,95.73,2.78,4467.2,3.9634
2021-04-16,2021,4,16,4,2,0,106,95.37,4666.5,1165.9,17.93,18.6,5.2,0,SUP-002,Silva Green Leaves,1,710.2,0,0,465948.69,94.31,100.99,97.14,95.76,97.56,100.83,95.91,95.7,2.72,4416.7,-5.5649
2021-04-17,2021,4,17,5,2,1,107,94.31,3543.9,454.4,18.11,18.0,3.9,0,SUP-001,Perera Tea Estates,1,805.3,0,0,342454.39,102.22,95.37,100.99,97.14,94.78,92.9,95.85,95.59,2.76,4389.4,-1.1115
2021-04-18,2021,4,18,6,2,1,108,102.22,3362.2,525.7,17.97,19.5,1.7,0,SUP-004,Highlands Tea Farm,0,0.0,0,0,353130.91,91.73,94.31,95.37,100.99,92.0,91.71,97.31,95.93,3.07,4378.3,8.3872
2021-04-19,2021,4,19,0,2,0,109,91.73,4646.4,1102.3,17.57,13.4,3.9,0,SUP-001,Perera Tea Estates,1,730.2,0,0,445581.68,99.38,102.22,94.31,95.37,95.36,101.32,96.79,95.87,3.7,4364.7,-10.2622
2021-04-20,2021,4,20,1,2,0,110,99.38,4331.9,1215.1,16.47,15.8,5.4,0,SUP-005,Kandyan Leaf Growers,1,659.3,0,0,450516.92,101.26,91.73,102.22,94.31,95.76,93.06,97.31,96.06,3.78,4271.8,8.3397
2021-04-21,2021,4,21,2,2,0,111,101.26,4725.8,1198.5,20.02,13.2,11.5,0,SUP-003,Nuwara Estates Ltd,1,771.9,0,0,502528.48,88.45,99.38,91.73,102.22,97.14,100.9,97.89,96.33,4.06,4293.5,1.8917
2021-04-22,2021,4,22,3,2,0,112,88.45,4600.8,1194.8,19.76,16.2,3.2,0,SUP-004,Highlands Tea Farm,1,461.6,0,0,430550.01,99.77,101.26,99.38,91.73,100.99,100.14,96.1,96.23,5.1,4268.2,-12.6506
2021-04-23,2021,4,23,4,2,0,113,99.77,4800.9,1171.0,14.23,17.7,3.0,0,SUP-002,Silva Green Leaves,1,588.2,0,0,495649.12,95.46,88.45,101.26,99.38,95.37,97.56,96.73,96.21,5.27,4287.4,12.7982
2021-04-24,2021,4,24,5,2,1,114,95.46,3559.9,545.0,19.93,17.5,15.7,0,SUP-003,Nuwara Estates Ltd,0,0.0,0,0,350689.9,93.35,99.77,88.45,101.26,94.31,94.78,96.9,96.19,5.19,4289.7,-4.3199
2021-04-25,2021,4,25,6,2,1,115,93.35,3260.6,640.3,18.14,14.0,6.8,0,SUP-003,Nuwara Estates Ltd,0,0.0,0,0,315992.05,99.5,95.46,99.77,88.45,102.22,92.0,95.63,96.29,4.74,4275.2,-2.2103
2021-04-26,2021,4,26,0,2,0,116,99.5,4359.2,1261.8,18.15,15.3,7.0,0,SUP-002,Silva Green Leaves,1,563.7,0,0,456642.07,100.51,93.35,95.46,99.77,91.73,95.36,96.74,96.37,4.58,4234.2,6.5881
2021-04-27,2021,4,27,1,2,0,117,100.51,4723.9,1102.9,20.38,15.9,13.8,0,SUP-005,Kandyan Leaf Growers,1,711.1,0,0,497276.29,96.45,99.5,93.35,95.46,99.38,95.76,96.9,96.58,4.71,4290.2,1.0151
2021-04-28,2021,4,28,2,2,0,118,96.45,4680.1,1081.0,17.42,17.5,10.3,0,SUP-001,Perera Tea Estates,1,757.4,0,0,470226.67,101.74,100.51,99.5,93.35,101.26,97.14,96.21,96.66,4.3,4283.6,-4.0394
2021-04-29,2021,4,29,3,2,0,119,101.74,4936.4,1086.3,18.95,20.0,11.1,0,SUP-001,Perera Tea Estates,1,771.5,0,0,522814.72,97.94,96.45,100.51,99.5,88.45,100.99,98.11,96.73,3.06,4331.6,5.4847
2021-04-30,2021,4,30,4,2,0,120,97.94,4616.9,1325.1,17.99,18.3,4.1,0,SUP-001,Perera Tea Estates,1,875.2,0,0,476017.73,93.15,101.74,96.45,100.51,99.77,95.37,97.85,96.96,2.97,4305.3,-3.735
2021-05-01,2021,5,1,5,2,1,121,93.15,3419.6,419.4,21.1,16.6,6.5,0,SUP-005,Kandyan Leaf Growers,1,685.9,0,1,327385.08,98.6,97.94,101.74,96.45,95.46,94.31,97.52,96.83,3.38,4285.2,-4.8907
2021-05-02,2021,5,2,6,2,1,122,98.6,3298.1,609.7,16.19,14.7,7.6,0,SUP-004,Highlands Tea Farm,0,0.0,1,1,335063.7,96.75,93.15,97.94,101.74,93.35,102.22,98.27,96.76,2.84,4290.6,5.8508
2021-05-03,2021,5,3,0,2,0,123,96.75,4794.9,1171.6,16.44,15.0,17.0,0,SUP-001,Perera Tea Estates,0,0.0,0,1,483167.68,96.66,98.6,93.15,97.94,99.5,91.73,97.88,96.89,2.83,4352.8,-1.8763
2021-05-04,2021,5,4,1,2,0,124,96.66,4723.9,979.7,19.48,15.9,21.0,0,SUP-001,Perera Tea Estates,1,882.0,0,1,475696.73,98.89,96.75,98.6,93.15,100.51,99.38,97.33,97.05,2.6,4352.8,-0.093
2021-05-05,2021,5,5,2,2,0,125,98.89,5049.8,1167.1,17.36,16.1,16.3,0,SUP-001,Perera Tea Estates,1,838.7,0,1,519635.58,100.19,96.66,96.75,98.6,96.45,101.26,97.68,96.97,2.62,4405.7,2.3071
2021-05-06,2021,5,6,3,2,0,126,100.19,4516.7,1072.0,19.83,16.9,12.5,0,SUP-005,Kandyan Leaf Growers,1,665.6,0,0,473785.93,101.06,98.89,96.66,96.75,101.74,88.45,97.45,97.21,2.26,4345.7,1.3146
2021-05-07,2021,5,7,4,2,0,127,101.06,4485.2,1192.9,18.07,16.2,5.0,0,SUP-004,Highlands Tea Farm,1,511.2,0,0,474830.01,91.01,100.19,98.89,96.66,97.94,99.77,97.9,97.22,2.65,4326.9,0.8684
2021-05-08,2021,5,8,5,2,1,128,91.01,3490.1,466.0,19.13,16.4,49.4,1,SUP-004,Highlands Tea Farm,1,452.1,0,0,326548.58,94.87,101.06,100.19,98.89,93.15,95.46,97.59,96.91,3.33,4337.0,-9.9446
2021-05-09,2021,5,9,6,2,1,129,94.87,3458.7,524.0,20.11,17.1,22.9,0,SUP-003,Nuwara Estates Ltd,0,0.0,0,0,338664.51,94.89,91.01,101.06,100.19,98.6,93.35,97.06,96.82,3.44,4359.9,4.2413
2021-05-10,2021,5,10,0,2,0,130,94.89,4796.8,1191.6,17.98,15.3,0.7,0,SUP-001,Perera Tea Estates,1,905.4,0,0,476593.32,106.46,94.87,91.01,101.06,96.75,99.5,96.8,96.83,3.53,4360.2,0.0211
2021-05-11,2021,5,11,1,2,0,131,106.46,4858.9,1128.3,17.31,17.2,25.1,0,SUP-004,Highlands Tea Farm,1,539.8,0,0,536809.37,97.82,94.89,94.87,91.01,96.66,100.51,98.2,97.31,5.08,4379.5,12.1931
2021-05-12,2021,5,12,2,2,0,132,97.82,4545.7,1175.1,21.01,15.3,7.3,0,SUP-005,Kandyan Leaf Growers,1,701.8,0,0,469349.22,102.06,106.46,94.89,94.87,98.89,96.45,98.04,97.39,5.07,4307.4,-8.1157
2021-05-13,2021,5,13,3,2,0,133,102.06,4651.9,1241.1,17.13,18.9,12.6,0,SUP-005,Kandyan Leaf Growers,1,661.3,0,0,496032.96,97.43,97.82,106.46,94.89,100.19,101.74,98.31,97.6,5.25,4326.8,4.3345
